protein_id,mbl_avg,mbl_max,mbl_min,sim_lin_avg,sim_lin_max,sim_lin_min,sim_resnik_avg,sim_resnik_max,sim_resnik_min,sim_schlicker_avg,sim_schlicker_max,sim_schlicker_min,sim_wang_avg,sim_wang_max,sim_wang_min
SERA_HUMAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMAD6_HUMAN,7.244897959183674,14.0,2.0,0.03262355065413074,0.8736121659998745,0.0,0.17367884346398413,5.140688422344454,0.0,0.024397112217106165,0.8679519337222964,0.0,0.07898409033839726,0.7690147091433218,0.0
B4GT5_HUMAN,2.0,2.0,2.0,0.1422487263606226,0.8534923581637357,0.0,1.0094965257031014,6.056979154218609,0.0,0.14191565617207091,0.8514939370324255,0.0,0.12041619961276988,0.7224971976766192,0.0
DENR_HUMAN,8.0,9.0,7.0,0.03660307823290918,0.2196184693974551,0.0,0.25008387151173866,1.5005032290704319,0.0,0.028439936488894656,0.17063961893336793,0.0,0.08542929735458271,0.27467775661222504,0.0
SYNC_HUMAN,9.0,13.0,1.0,0.03754819180732811,0.8124340731268925,0.0,0.25653721214874425,5.935917737162375,0.0,0.032466976143490776,0.8102869754059263,0.0,0.07521707963345554,0.9198755093610019,0.0
PLPP2_HUMAN,4.521739130434782,12.0,1.0,0.13343626675544082,0.9366670260095855,0.0,0.7464737822851111,6.837137711768183,0.0,0.12296154589146625,0.9356618223719166,0.0,0.13454928740285854,0.8145400593471811,0.0
M3K7_HUMAN,10.253807106598984,20.0,1.0,0.12757404611565476,0.8984495537450226,0.0,0.8032851601660835,6.002609111661047,0.0,0.11322080140540017,0.8943134688428716,0.0,0.1286556812554267,0.9588027490918946,0.0
RIPK2_HUMAN,11.085106382978724,20.0,1.0,0.048794892049954484,0.8543547974373613,0.0,0.2631046725495531,6.59731621940774,0.0,0.03786361728362028,0.8531894370998508,0.0,0.07742584154759113,0.900744510818893,0.0
NCK2_HUMAN,8.722222222222221,14.0,2.0,0.07324210231695799,0.5820569077770641,0.0,0.29203961327951206,2.540111204135096,0.0,0.045325555130251,0.5361572794996741,0.0,0.0965028156617519,0.6343213421830468,0.0
MAAI_HUMAN,6.428571428571429,9.0,1.0,0.027332365749644472,0.7500176413652418,0.0,0.11308903263840586,1.7191438993514285,0.0,0.01998546956310023,0.6155998455420273,0.0,0.0760481152785894,0.7469635627530365,0.0
AK1BA_HUMAN,6.523809523809524,10.0,1.0,0.1196023741861215,0.9514594379134996,0.0,0.887377442863373,6.730847612032263,0.0,0.11324187171550468,0.9496957570041965,0.0,0.1078239924254368,0.8767343963496026,0.0
TLR2_HUMAN,10.218905472636816,21.0,1.0,0.05963574869019294,0.9858268260075046,0.0,0.367711663520552,8.271292652979412,0.0,0.05127309900412113,0.9854066099691382,0.0,0.07727489670502732,0.9507841947194343,0.0
TYW4_HUMAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC14B_HUMAN,6.857142857142857,19.0,2.0,0.029013742206542185,0.8431989122945508,0.0,0.13398625901528885,4.455909491455025,0.0,0.022699580191268238,0.8334095785810823,0.0,0.11294460094274446,0.8095557316107015,0.0
KDM1A_HUMAN,8.797833935018051,18.0,1.0,0.049247806311291546,0.9933485732882773,0.0,0.2698484896233062,7.289122835511241,0.0,0.039410993116969655,0.9908288598340826,0.0,0.07553142639231429,0.8550726381955113,0.0
PLPL9_HUMAN,7.870967741935484,17.0,2.0,0.0487400427552602,0.777678820680513,0.0,0.26512520288332236,5.060645714670917,0.0,0.04234744286300766,0.7727471988908317,0.0,0.08612369490180909,0.6887356470939783,0.0
B4GT3_HUMAN,6.0,8.0,5.0,0.001201344494767037,0.005180073574353667,0.0,0.002957510089277094,0.00985836696425698,0.0,1.1785108471043923e-05,5.081617240322433e-05,0.0,0.08607607269831288,0.35522606244126553,0.0
F262_HUMAN,11.5,12.0,11.0,0.06212763228235618,0.6212763228235618,0.0,0.4188121391355436,4.188121391355436,0.0,0.06118486002777311,0.6118486002777311,0.0,0.0225485177624608,0.15840410677313843,0.0
B4GT4_HUMAN,5.2,9.0,1.0,0.0842137279101893,0.8331892485426263,0.0,0.5211870407823673,6.099538768637404,0.0,0.0765058737407552,0.8313196531556526,0.0,0.10859722077830017,0.9022741203107212,0.0
